万 萬
三 叁
与 與
丑 醜
专 專
业 業
丛 叢
东 東
丝 絲
丢 丟
丢 丟
两 兩
严 嚴
并 並
丧 喪
个 個
丬 爿
丰 豐
临 臨
为 為
丽 麗
举 舉
么 麼
义 義
乌 烏
乐 樂
乔 喬
习 習
乡 鄉
书 書
买 買
乱 亂
干 幹
乱 亂
争 爭
于 於
亏 虧
云 雲
亘 亙
亘 亙
亚 亞
亚 亞
产 產
亩 畝
亲 親
亵 褻
亸 嚲
亿 億
仅 僅
仆 僕
从 從
仑 侖
仓 倉
仪 儀
们 們
价 價
夫 伕
众 眾
优 優
伙 夥
会 會
伛 傴
伞 傘
伟 偉
传 傳
伤 傷
伥 倀
伦 倫
伧 傖
伪 偽
伫 佇
伫 佇
布 佈
体 體
占 佔
畲 佘
余 餘
佣 傭
佥 僉
并 併
来 來
仑 侖
侠 俠
侣 侶
侥 僥
侦 偵
侧 側
侨 僑
侩 儈
侪 儕
侬 儂
侣 侶
局 侷
俣 俁
系 係
侠 俠
俣 俁
俦 儔
俨 儼
俩 倆
俪 儷
俭 儉
伥 倀
俩 倆
仓 倉
个 個
们 們
幸 倖
仿 倣
伦 倫
债 債
倾 傾
伟 偉
偬 傯
侧 側
侦 偵
偷 偸
咱 偺
偻 僂
伪 偽
偾 僨
偿 償
杰 傑
伧 傖
伞 傘
备 備
效 傚
家 傢
傥 儻
傧 儐
储 儲
傩 儺
佣 傭
偬 傯
传 傳
伛 傴
债 債
伤 傷
倾 傾
偻 僂
仅 僅
佥 僉
侨 僑
仆 僕
伪 僞
侥 僥
偾 僨
雇 僱
价 價
仪 儀
侬 儂
亿 億
当 儅
侩 儈
俭 儉
傧 儐
俦 儔
侪 儕
尽 儘
偿 償
优 優
储 儲
俪 儷
罗 儸
攒 儹
傩 儺
傥 儻
俨 儼
儿 兒
凶 兇
兑 兌
兑 兌
儿 兒
兖 兗
兖 兗
党 黨
内 內
两 兩
兰 蘭
关 關
兴 興
兹 茲
养 養
兽 獸
冁 囅
内 內
冈 岡
册 冊
册 冊
写 寫
军 軍
农 農
冢 塚
幂 冪
冯 馮
冲 沖
决 決
况 況
冻 凍
净 淨
涂 凃
凄 淒
凉 涼
凌 淩
冻 凍
减 減
凑 湊
凛 凜
凛 凜
渎 凟
几 幾
凤 鳳
处 処
凫 鳧
凭 憑
凯 凱
凯 凱
凭 凴
击 擊
凼 氹
凿 鑿
刍 芻
划 劃
刘 劉
则 則
刚 剛
创 創
删 刪
别 別
删 刪
别 別
刬 剗
刭 剄
刽 劊
刿 劌
剀 剴
剂 劑
刭 剄
则 則
剐 剮
剑 劍
刬 剗
刚 剛
剥 剝
剥 剝
剧 劇
剐 剮
剀 剴
创 創
铲 剷
划 劃
札 劄
剧 劇
刘 劉
刽 劊
刿 劌
剑 劍
剂 劑
剑 劒
劝 勸
办 辦
